Paper_Table_Row_Number	Quantum_Code_Parameters	Vector_u	Scalar_a	Generator_Matrix_G
1	[[9,2,5;3]]_2	w^2 1 0 1 0 1 w^2 w^2	1	1 0 0 0 1 1 w^2 1 | 0 1 0 0 1 1 1 w^2 | 0 0 1 0 w^2 1 1 1 | 0 0 0 1 1 w^2 1 1
2	[[9,3,5;4]]_2	w^2 1 w^2 1 0 1 0 1	1	1 0 0 0 w w w^2 0 | 0 1 0 0 0 w w w^2 | 0 0 1 0 w^2 0 w w | 0 0 0 1 w w^2 0 w
3	[[11,2,7;7]]_2	0 w 0 w w^2 0 1 w^2 1 1	1	1 0 0 0 0 0 w 0 0 w | 0 1 0 0 0 0 w^2 0 w w | 0 0 1 0 0 0 w^2 0 1 w | 0 0 0 1 0 0 w 0 1 0 | 0 0 0 0 1 0 w^2 0 w^2 w | 0 0 0 0 0 1 0 0 w^2 w^2 | 0 0 0 0 0 0 0 1 1 w^2
4	[[11,5,4;2]]_2	1 1 0 1 w 0 w^2 w^2 w 0	1	1 0 w^2 0 w w w w^2 w^2 0 | 0 1 1 0 w 0 1 0 w^2 w^2 | 0 0 0 1 0 w^2 1 w^2 w^2 1
5	[[13,3,6;4]]_2	w w 1 1 0 0 0 1 w^2 1 w 1	1	1 0 0 0 0 0 1 w^2 0 1 0 1 | 0 1 0 0 0 0 1 1 w^2 0 1 0 | 0 0 1 0 0 0 0 1 1 w^2 0 1 | 0 0 0 1 0 0 1 0 1 1 w^2 0 | 0 0 0 0 1 0 0 1 0 1 1 w^2 | 0 0 0 0 0 1 w^2 0 1 0 1 1
6	[[7,0,7;5]]_3	w^2 w^5 w^7 w w^7 w	1	1 0 0 0 0 w^7 | 0 1 0 0 0 1 | 0 0 1 0 0 w^6 | 0 0 0 1 0 2 | 0 0 0 0 1 w^6
7	[[7,2,5;3]]_3	w^6 2 w^7 1 w^5 w^7	1	1 0 0 w^2 w 2 | 0 1 0 2 w^2 w | 0 0 1 w 2 w^2
8	[[9,0,9;7]]_3	w w^2 w^7 w^7 w^3 w^2 w^2 w^5	w	1 0 0 0 0 0 0 1 | 0 1 0 0 0 0 0 w^3 | 0 0 1 0 0 0 0 w^2 | 0 0 0 1 0 0 0 w^2 | 0 0 0 0 1 0 0 w^6 | 0 0 0 0 0 1 0 w^3 | 0 0 0 0 0 0 1 w^3
9	[[15,2,13;13]]_3	w^3 1 w^6 1 w^7 w^2 w w^7 w^6 w^7 0 w^2 w^6 w^2	1	1 0 0 0 0 0 0 0 0 0 0 1 0 w^2 | 0 1 0 0 0 0 0 0 0 0 0 2 0 w^5 | 0 0 1 0 0 0 0 0 0 0 0 w^7 0 w^6 | 0 0 0 1 0 0 0 0 0 0 0 w^6 0 0 | 0 0 0 0 1 0 0 0 0 0 0 w^5 0 1 | 0 0 0 0 0 1 0 0 0 0 0 1 0 1 | 0 0 0 0 0 0 1 0 0 0 0 w^3 0 w^6 | 0 0 0 0 0 0 0 1 0 0 0 w^7 0 w^7 | 0 0 0 0 0 0 0 0 1 0 0 w^7 0 w^6 | 0 0 0 0 0 0 0 0 0 1 0 1 0 w^5 | 0 0 0 0 0 0 0 0 0 0 1 1 0 2 | 0 0 0 0 0 0 0 0 0 0 0 0 1 1
10	[[16,2,14;14]]_3	w^5 w w^5 w w^7 0 w^2 2 w^5 w^6 w w^5 1 0 w^7	1	1 0 0 0 0 0 0 0 0 0 0 0 0 w^6 w^6 | 0 1 0 0 0 0 0 0 0 0 0 0 0 1 w^2 | 0 0 1 0 0 0 0 0 0 0 0 0 0 w^7 w^6 | 0 0 0 1 0 0 0 0 0 0 0 0 0 w^5 w^2 | 0 0 0 0 1 0 0 0 0 0 0 0 0 w 2 | 0 0 0 0 0 1 0 0 0 0 0 0 0 w^3 0 | 0 0 0 0 0 0 1 0 0 0 0 0 0 w^3 w^5 | 0 0 0 0 0 0 0 1 0 0 0 0 0 0 w^3 | 0 0 0 0 0 0 0 0 1 0 0 0 0 1 w^6 | 0 0 0 0 0 0 0 0 0 1 0 0 0 w^3 w | 0 0 0 0 0 0 0 0 0 0 1 0 0 w^2 w^2 | 0 0 0 0 0 0 0 0 0 0 0 1 0 w^2 w^6 | 0 0 0 0 0 0 0 0 0 0 0 0 1 w^2 w^7
