Paper_Table_Row_Number	Quantum_Code_Parameters	Vector_u	Scalar_a	Generator_Matrix_G
1	[[7,1,7;6]]_3	w^2 w^5 w^7 w w^7 w	w	1 0 0 0 0 w^7 | 0 1 0 0 0 1 | 0 0 1 0 0 w^6 | 0 0 0 1 0 2 | 0 0 0 0 1 w^6
2	[[8,0,8;6]]_3	w^2 w^6 w^3 w^2 w^5 w w^3	1	1 0 0 0 0 0 w | 0 1 0 0 0 0 w^5 | 0 0 1 0 0 0 2 | 0 0 0 1 0 0 w | 0 0 0 0 1 0 w^2 | 0 0 0 0 0 1 w^6
3	[[8,1,8;7]]_3	w^2 w^6 w^3 w^2 w^5 w w^3	w	1 0 0 0 0 0 w | 0 1 0 0 0 0 w^5 | 0 0 1 0 0 0 2 | 0 0 0 1 0 0 w | 0 0 0 0 1 0 w^2 | 0 0 0 0 0 1 w^6
4	[[13,3,7;4]]_3	2 2 w^2 2 w^7 w w^5 w^6 w^3 w^2 w 1	w	1 0 0 0 0 0 w^5 w^3 0 w w^6 w^5 | 0 1 0 0 0 0 w^5 w^5 w^3 0 w w^6 | 0 0 1 0 0 0 w^6 w^5 w^5 w^3 0 w | 0 0 0 1 0 0 w w^6 w^5 w^5 w^3 0 | 0 0 0 0 1 0 0 w w^6 w^5 w^5 w^3 | 0 0 0 0 0 1 w^3 0 w w^6 w^5 w^5
5	[[17,2,15;15]]_3	w^3 2 2 1 w^6 0 w^5 w^2 w^2 w^6 w^7 w^6 w w^7 w w^3	1	1 0 0 0 0 0 0 0 0 0 0 0 0 0 w w^2 | 0 1 0 0 0 0 0 0 0 0 0 0 0 0 w^2 w | 0 0 1 0 0 0 0 0 0 0 0 0 0 0 w^3 w^6 | 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 w | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 w^5 | 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 w^6 | 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 w^6 | 0 0 0 0 0 0 0 1 0 0 0 0 0 0 w w^6 | 0 0 0 0 0 0 0 0 1 0 0 0 0 0 w^7 0 | 0 0 0 0 0 0 0 0 0 1 0 0 0 0 w 2 | 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 w^5 | 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 w^7 | 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 w^2 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w^7 w^3
6	[[18,2,16;16]]_3	1 w^5 w^7 w^5 w w^6 w^7 w^3 w^5 0 w^2 w^2 w^5 w^7 w w^6 w	1	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 w^6 | 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 w 0 | 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 w^6 2 | 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 w^7 w^7 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 w 1 | 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 w^5 w^6 | 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 w^6 2 | 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 w^6 w^3 | 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 | 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 w^5 1 | 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 w^6 w^6 | 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 w w^2 | 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 w^6 w^2 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 w^2 w^7 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w^2 w^6
7	[[19,2,17;17]]_3	w^6 w^2 w^5 w w 1 w^6 0 w w^7 0 w^7 w^6 w^6 2 w^6 1 1	1	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w^5 2 | 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w^7 2 | 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w^5 | 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 w 2 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 w^2 1 | 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 w^6 w | 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 w w^7 | 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2 1 | 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 w^3 w^3 | 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 w^7 1 | 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 w w^5 | 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 w^2 2 | 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 w^7 w | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 w^5 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w^6 0
8	[[19,3,15;16]]_3	w^7 w^7 0 w^2 2 w 2 w w^5 0 w^2 2 w^6 w^6 1 w^5 w^6 w	w	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 w^5 | 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w^5 w^3 | 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 w^6 w^3 w^2 | 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 w^2 w^6 0 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 w^6 1 | 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 w^6 w^7 2 | 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 w^6 0 w^7 | 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 w^7 w^7 | 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 w w^7 w^6 | 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 w^2 w^5 | 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 w^2 2 2 | 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 w^3 2 w^5 | 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 w^2 2 w^2 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 w^6 2 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 w^3 0
9	[[21,2,18;19]]_3	w^7 w^5 w^3 2 w^3 w 1 w^7 w^2 w^7 2 w^2 1 1 w w^3 w w 1 w^2	1	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w^5 w^7 | 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w^6 w^6 | 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w^6 w^2 | 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w^3 w^3 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 w^2 w | 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 w^5 1 | 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 | 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 w^3 1 | 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 | 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 w^6 w^5 | 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 w^7 1 | 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 w^5 w^5 | 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 w 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 w^5 w | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 2 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 w^5 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 w^3 w^5 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w w^6
10	[[22,2,19;20]]_3	w w^2 2 w^3 w^7 w 0 w^5 0 2 w^2 w^5 w^7 0 w^3 w^7 w^2 w w^2 w^6 w^3	w	1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 | 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w | 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 w^6 | 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 w^2 w^2 | 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w^3 | 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w^7 | 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 w w^6 | 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 w^2 w^5 | 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 w^6 w^3 | 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 w 1 | 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 w^6 1 | 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 w 0 | 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 w w^5 | 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 w^3 1 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 w^6 w^5 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 w^7 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 w 2 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 w w^2 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 w^2 w^6
